X Z U W THETA OMEGA
0 0 0 0 60 0
1.96779709506057e-11 -1.12499999852415e-08 3.9355941858141e-09 -2.24999999557246e-06 60 0
7.87118836300742e-11 -4.49999998819322e-08 7.87118834579255e-09 -4.49999998228983e-06 60 0
1.77101737780182e-10 -1.01249999601521e-07 1.18067824799487e-08 -6.74999996015211e-06 60 0
3.14847533142907e-10 -1.79999999055457e-07 1.57423765882958e-08 -8.99999992915931e-06 60 0
4.91949269460225e-10 -2.8124999815519e-07 1.96779706708473e-08 -1.12499998893114e-05 60 0
7.08406946474112e-10 -4.04999996812169e-07 2.36135647276165e-08 -1.34999998406084e-05 60 0
9.64220563923548e-10 -5.51249994937842e-07 2.75491587586166e-08 -1.57499997830504e-05 60 0
1.25939012154884e-09 -7.19999992443659e-07 3.14847527638611e-08 -1.79999997166372e-05 60 0
1.59391561909397e-09 -9.11249989241069e-07 3.54203467433632e-08 -2.0249999641369e-05 60 0
1.96779705630291e-09 -1.12499998524152e-06 3.93559406971363e-08 -2.24999995572457e-05 60 0
2.38103443291964e-09 -1.36124998035646e-06 4.32915346251937e-08 -2.47499994642673e-05 60 0
2.83362774868812e-09 -1.61999997449735e-06 4.72271285275487e-08 -2.69999993624338e-05 60 0
3.32557700335235e-09 -1.90124996757562e-06 5.11627224042146e-08 -2.92499992517452e-05 60 0
3.85688219665629e-09 -2.20499995950274e-06 5.50983162552049e-08 -3.14999991322015e-05 60 0
4.42754332834392e-09 -2.53124995019013e-06 5.90339100805327e-08 -3.37499990038028e-05 60 0
5.03756039815921e-09 -2.87999993954927e-06 6.29695038802115e-08 -3.59999988665489e-05 60 0
5.68693340584614e-09 -3.2512499274916e-06 6.69050976542546e-08 -3.824999872044e-05 60 0
6.37566235114869e-09 -3.64499991392855e-06 7.08406914026752e-08 -4.0499998565476e-05 60 0
7.10374723381084e-09 -4.0612498987716e-06 7.47762851254867e-08 -4.27499984016569e-05 60 0
7.87118805357655e-09 -4.49999988193218e-06 7.87118788227025e-08 -4.49999982289827e-05 60 0
8.6779848101898e-09 -4.96124986332174e-06 8.26474724943358e-08 -4.72499980474535e-05 60 0
9.52413750339458e-09 -5.44499984285173e-06 8.65830661404001e-08 -4.94999978570691e-05 60 0
1.04096461329349e-08 -5.9512498204336e-06 9.05186597609085e-08 -5.17499976578297e-05 60 0
1.13345106985546e-08 -6.4799997959788e-06 9.44542533558745e-08 -5.39999974497351e-05 60 0
1.22987311999978e-08 -7.03124976939879e-06 9.83898469253114e-08 -5.62499972327856e-05 60 0
1.33023076370084e-08 -7.604999740605e-06 1.02325440469233e-07 -5.84999970069809e-05 60 0
1.43452400093304e-08 -8.20124970950889e-06 1.06261033987651e-07 -6.07499967723211e-05 60 0
1.54275283167078e-08 -8.8199996760219e-06 1.10196627480581e-07 -6.29999965288062e-05 60 0
1.65491725588845e-08 -9.46124964005549e-06 1.14132220948034e-07 -6.52499962764363e-05 60 0
1.77101727356046e-08 -1.01249996015211e-05 1.18067814390025e-07 -6.74999960152113e-05 60 0
1.8910528846612e-08 -1.08112495603302e-05 1.22003407806567e-07 -6.97499957451311e-05 60 0
2.0150240891569e-08 -1.15199995163942e-05 1.25939001197674e-07 -7.19999954661959e-05 60 0
2.14293088701446e-08 -1.22512494696246e-05 1.29874594563357e-07 -7.42499951784056e-05 60 0
2.27477327820929e-08 -1.30049994199328e-05 1.33810187903632e-07 -7.64999948817603e-05 60 0
2.41055126271678e-08 -1.37812493672303e-05 1.3774578121851e-07 -7.87499945762598e-05 60 0
2.55026484051233e-08 -1.45799993114285e-05 1.41681374508006e-07 -8.09999942619043e-05 60 0
2.69391401157133e-08 -1.54012492524388e-05 1.45616967772133e-07 -8.32499939386937e-05 60 0
2.84149877586918e-08 -1.62449991901728e-05 1.49552561010904e-07 -8.5499993606628e-05 60 0
2.99301913338128e-08 -1.71112491245418e-05 1.53488154224333e-07 -8.77499932657072e-05 60 0
3.14847508408303e-08 -1.79999990554574e-05 1.57423747412432e-07 -8.99999929159313e-05 60 0
3.30786662794982e-08 -1.89112489828309e-05 1.61359340575215e-07 -9.22499925573004e-05 60 0
